"from_di_id","incoming"
"adaptation-fund",0
"FR",0
"afdb",0
"IT",0
"asdb",0
"AU",0
"BE",0
"bmgf",0
"DE",0
"DK",0
"GB",0
"ebrd",0
"EU",0.0681367851748388
"fao",0.750370233246946
"CA",0
"FI",0
"gavi",0
"idb",0
"ifad",0
"international-labour-organisation",0
"IE",0
"JP",0
"ES",0
"NZ",0
"NL",0
"NO",0
"ofid",0
"CH",0
"SE",0
"global-fund",0
"unaids",0
"undp",0.851527647610122
"unfpa",0
"unicef",1
"US",0
"wfp",0.262821280571059
"who",0
"ida",0
