
	SDRs per currency unit for the period  January 01, 1994 - December 11, 2017
	Date	U.S. dollar(USD)	
	03-Jan-1994	0.730116  	
	04-Jan-1994	0.730781  	
	05-Jan-1994	0.72907  	
	06-Jan-1994	0.729854  	
	07-Jan-1994	0.729203  	
	10-Jan-1994	0.727247  	
	11-Jan-1994	0.729658  	
	12-Jan-1994	0.729037  	
	13-Jan-1994	0.728887  	
	14-Jan-1994	0.728644  	
	17-Jan-1994	0.728843  	
	18-Jan-1994	0.728062  	
	19-Jan-1994	0.72717  	
	20-Jan-1994	0.729067  	
	21-Jan-1994	0.725139  	
	24-Jan-1994	0.729941  	
	25-Jan-1994	0.728958  	
	26-Jan-1994	0.727124  	
	27-Jan-1994	0.725598  	
	28-Jan-1994	0.723539  	
	31-Jan-1994	0.724284  	
	01-Feb-1994	0.72186  	
	02-Feb-1994	0.721418  	
	03-Feb-1994	0.722598  	
	04-Feb-1994	0.723739  	
	07-Feb-1994	0.726767  	
	08-Feb-1994	0.726894  	
	09-Feb-1994	0.726227  	
	10-Feb-1994	0.727248  	
	11-Feb-1994	0.72576  	
	14-Feb-1994	0.720125  	
	15-Feb-1994	0.716009  	
	16-Feb-1994	0.715777  	
	17-Feb-1994	0.716058  	
	18-Feb-1994	0.716297  	
	21-Feb-1994	0.719623  	
	22-Feb-1994	0.718926  	
	23-Feb-1994	0.718815  	
	24-Feb-1994	0.719427  	
	25-Feb-1994	0.716493  	
	28-Feb-1994	0.714645  	
	01-Mar-1994	0.713023  	
	02-Mar-1994	0.710788  	
	03-Mar-1994	0.713884  	
	04-Mar-1994	0.7157  	
	07-Mar-1994	0.717555  	
	08-Mar-1994	0.716132  	
	09-Mar-1994	0.715388  	
	10-Mar-1994	0.713873  	
	11-Mar-1994	0.711904  	
	14-Mar-1994	0.713313  	
	15-Mar-1994	0.715376  	
	16-Mar-1994	0.715439  	
	17-Mar-1994	0.714122  	
	18-Mar-1994	0.714695  	
	21-Mar-1994	0.716032  	
	22-Mar-1994	0.714083  	
	23-Mar-1994	0.715119  	
	24-Mar-1994	0.714187  	
	25-Mar-1994	0.708891  	
	28-Mar-1994	0.710724  	
	29-Mar-1994	0.708053  	
	30-Mar-1994	0.709352  	
	31-Mar-1994	0.707916  	
	01-Apr-1994	0.712334  	
	04-Apr-1994	0.712227  	
	05-Apr-1994	0.711466  	
	06-Apr-1994	0.716291  	
	07-Apr-1994	0.71529  	
	08-Apr-1994	0.716829  	
	11-Apr-1994	0.713642  	
	12-Apr-1994	0.715589  	
	13-Apr-1994	0.714953  	
	14-Apr-1994	0.714718  	
	15-Apr-1994	0.714831  	
	18-Apr-1994	0.714391  	
	19-Apr-1994	0.711922  	
	20-Apr-1994	0.712273  	
	21-Apr-1994	0.709484  	
	22-Apr-1994	0.711976  	
	25-Apr-1994	0.709119  	
	26-Apr-1994	0.709643  	
	27-Apr-1994	0.707621  	
	28-Apr-1994	0.706679  	
	29-Apr-1994	0.703541  	
	02-May-1994	0.70191  	
	03-May-1994	0.701053  	
	04-May-1994	0.701573  	
	05-May-1994	0.707365  	
	06-May-1994	0.707467  	
	09-May-1994	0.705449  	
	10-May-1994	0.707582  	
	11-May-1994	0.710198  	
	12-May-1994	0.709341  	
	13-May-1994	0.710834  	
	16-May-1994	0.710521  	
	17-May-1994	0.710305  	
	18-May-1994	0.707729  	
	19-May-1994	0.706061  	
	20-May-1994	0.70699  	
	23-May-1994	0.705898  	
	24-May-1994	0.70649  	
	25-May-1994	0.707624  	
	26-May-1994	0.705519  	
	27-May-1994	0.706635  	
	30-May-1994	0.7057  	
	31-May-1994	0.70555  	
	01-Jun-1994	0.70574  	
	02-Jun-1994	0.706253  	
	03-Jun-1994	0.709062  	
	06-Jun-1994	0.710279  	
	07-Jun-1994	0.710342  	
	08-Jun-1994	0.707723  	
	09-Jun-1994	0.708217  	
	10-Jun-1994	0.708024  	
	13-Jun-1994	0.705336  	
	14-Jun-1994	0.702865  	
	15-Jun-1994	0.702574  	
	16-Jun-1994	0.701282  	
	17-Jun-1994	0.70308  	
	20-Jun-1994	0.696274  	
	21-Jun-1994	0.69542  	
	22-Jun-1994	0.693284  	
	23-Jun-1994	0.695632  	
	24-Jun-1994	0.692124  	
	27-Jun-1994	0.68929  	
	28-Jun-1994	0.691332  	
	29-Jun-1994	0.689368  	
	30-Jun-1994	0.690432  	
	01-Jul-1994	0.6922  	
	04-Jul-1994	0.69078  	
	05-Jul-1994	0.688996  	
	06-Jul-1994	0.6866  	
	07-Jul-1994	0.688282  	
	08-Jul-1994	0.687127  	
	11-Jul-1994	0.68198  	
	12-Jul-1994	0.678168  	
	13-Jul-1994	0.678975  	
	14-Jul-1994	0.68211  	
	15-Jul-1994	0.683429  	
	18-Jul-1994	0.681755  	
	19-Jul-1994	0.682767  	
	20-Jul-1994	0.688461  	
	21-Jul-1994	0.684609  	
	22-Jul-1994	0.690557  	
	25-Jul-1994	0.689416  	
	26-Jul-1994	0.689718  	
	27-Jul-1994	0.687183  	
