
	SDRs per currency unit for the period  January 01, 1994 - December 11, 2017
	Date	U.S. dollar(USD)	
	28-Jul-1994	0.686856  	
	29-Jul-1994	0.692872  	
	01-Aug-1994	0.686346  	
	02-Aug-1994	0.688981  	
	03-Aug-1994	0.69182  	
	04-Aug-1994	0.688859  	
	05-Aug-1994	0.692187  	
	08-Aug-1994	0.691589  	
	09-Aug-1994	0.6928  	
	10-Aug-1994	0.691457  	
	11-Aug-1994	0.69186  	
	12-Aug-1994	0.686082  	
	15-Aug-1994	0.686748  	
	16-Aug-1994	0.687989  	
	17-Aug-1994	0.688273  	
	18-Aug-1994	0.685637  	
	19-Aug-1994	0.681373  	
	22-Aug-1994	0.680573  	
	23-Aug-1994	0.680815  	
	24-Aug-1994	0.682257  	
	25-Aug-1994	0.684682  	
	26-Aug-1994	0.683602  	
	29-Aug-1994	0.689919  	
	30-Aug-1994	0.68984  	
	31-Aug-1994	0.69075  	
	01-Sep-1994	0.690075  	
	02-Sep-1994	0.688875  	
	05-Sep-1994	0.685181  	
	06-Sep-1994	0.683316  	
	07-Sep-1994	0.682987  	
	08-Sep-1994	0.684799  	
	09-Sep-1994	0.68642  	
	12-Sep-1994	0.681995  	
	13-Sep-1994	0.682348  	
	14-Sep-1994	0.680886  	
	15-Sep-1994	0.683038  	
	16-Sep-1994	0.683364  	
	19-Sep-1994	0.681513  	
	20-Sep-1994	0.682711  	
	21-Sep-1994	0.681147  	
	22-Sep-1994	0.681059  	
	23-Sep-1994	0.680742  	
	26-Sep-1994	0.682178  	
	27-Sep-1994	0.682044  	
	28-Sep-1994	0.681574  	
	29-Sep-1994	0.682019  	
	30-Sep-1994	0.681486  	
	03-Oct-1994	0.685034  	
	04-Oct-1994	0.683553  	
	05-Oct-1994	0.682839  	
	06-Oct-1994	0.682744  	
	07-Oct-1994	0.682499  	
	10-Oct-1994	0.685066  	
	11-Oct-1994	0.684094  	
	12-Oct-1994	0.682848  	
	13-Oct-1994	0.682538  	
	14-Oct-1994	0.678547  	
	17-Oct-1994	0.673814  	
	18-Oct-1994	0.67372  	
	19-Oct-1994	0.672271  	
	20-Oct-1994	0.672548  	
	21-Oct-1994	0.66958  	
	24-Oct-1994	0.671686  	
	25-Oct-1994	0.668696  	
	26-Oct-1994	0.67077  	
	27-Oct-1994	0.669704  	
	28-Oct-1994	0.670501  	
	31-Oct-1994	0.67361  	
	01-Nov-1994	0.670401  	
	02-Nov-1994	0.669768  	
	03-Nov-1994	0.674697  	
	04-Nov-1994	0.676743  	
	07-Nov-1994	0.674133  	
	08-Nov-1994	0.673645  	
	09-Nov-1994	0.677819  	
	10-Nov-1994	0.676877  	
	11-Nov-1994	0.67739  	
	14-Nov-1994	0.680734  	
	15-Nov-1994	0.680417  	
	16-Nov-1994	0.683258  	
	17-Nov-1994	0.681797  	
	18-Nov-1994	0.683304  	
	21-Nov-1994	0.684195  	
	22-Nov-1994	0.682701  	
	23-Nov-1994	0.681489  	
	24-Nov-1994	0.684103  	
	25-Nov-1994	0.684046  	
	28-Nov-1994	0.685287  	
	29-Nov-1994	0.684813  	
	30-Nov-1994	0.686464  	
	01-Dec-1994	0.68604  	
	02-Dec-1994	0.688284  	
	05-Dec-1994	0.689552  	
	06-Dec-1994	0.687813  	
	07-Dec-1994	0.687639  	
	08-Dec-1994	0.689185  	
	09-Dec-1994	0.689498  	
	12-Dec-1994	0.689092  	
	13-Dec-1994	0.689179  	
	14-Dec-1994	0.688982  	
	15-Dec-1994	0.689022  	
	16-Dec-1994	0.688682  	
	19-Dec-1994	0.689464  	
	20-Dec-1994	0.688995  	
	21-Dec-1994	0.688688  	
	22-Dec-1994	0.69029  	
	23-Dec-1994	0.689853  	
	27-Dec-1994	0.690452  	
	28-Dec-1994	0.690144  	
	29-Dec-1994	0.68691  	
	30-Dec-1994	0.685003  	
	02-Jan-1995	0.673944  	
	03-Jan-1995	0.686959  	
	04-Jan-1995	0.688737  	
	05-Jan-1995	0.687906  	
	06-Jan-1995	0.687062  	
	09-Jan-1995	0.688358  	
	10-Jan-1995	0.684478  	
	11-Jan-1995	0.68366  	
	12-Jan-1995	0.68365  	
	13-Jan-1995	0.680646  	
	16-Jan-1995	0.681597  	
	17-Jan-1995	0.68093  	
	18-Jan-1995	0.68073  	
	19-Jan-1995	0.683082  	
	20-Jan-1995	0.679018  	
	23-Jan-1995	0.680237  	
	24-Jan-1995	0.678228  	
	25-Jan-1995	0.677765  	
	26-Jan-1995	0.679132  	
	27-Jan-1995	0.679114  	
	30-Jan-1995	0.678351  	
	31-Jan-1995	0.677184  	
	01-Feb-1995	0.68103  	
	02-Feb-1995	0.680555  	
	03-Feb-1995	0.680465  	
	06-Feb-1995	0.682328  	
	07-Feb-1995	0.682668  	
	08-Feb-1995	0.682745  	
	09-Feb-1995	0.682013  	
	10-Feb-1995	0.681824  	
	13-Feb-1995	0.679561  	
	14-Feb-1995	0.680404  	
	15-Feb-1995	0.678024  	
	16-Feb-1995	0.675217  	
	17-Feb-1995	0.67245  	
	20-Feb-1995	0.670747  	
	21-Feb-1995	0.670821  	
	22-Feb-1995	0.671354  	
	23-Feb-1995	0.670182  	
	24-Feb-1995	0.669797  	
	27-Feb-1995	0.668527  	
	28-Feb-1995	0.669167  	
	01-Mar-1995	0.669659  	
	02-Mar-1995	0.66831  	
	03-Mar-1995	0.663764  	
	06-Mar-1995	0.652342  	
	07-Mar-1995	0.651402  	
	08-Mar-1995	0.644278  	
	09-Mar-1995	0.650371  	
	10-Mar-1995	0.654067  	
	13-Mar-1995	0.651824  	
	14-Mar-1995	0.653595  	
	15-Mar-1995	0.6521  	
	16-Mar-1995	0.648627  	
	17-Mar-1995	0.648638  	
	20-Mar-1995	0.650016  	
	21-Mar-1995	0.647771  	
	22-Mar-1995	0.649737  	
	23-Mar-1995	0.646895  	
	24-Mar-1995	0.647432  	
	27-Mar-1995	0.650272  	
	28-Mar-1995	0.647652  	
	29-Mar-1995	0.642746  	
	30-Mar-1995	0.642404  	
	31-Mar-1995	0.640821  	
	03-Apr-1995	0.638391  	
	04-Apr-1995	0.638621  	
	05-Apr-1995	0.636832  	
	06-Apr-1995	0.636382  	
	07-Apr-1995	0.634347  	
	10-Apr-1995	0.635716  	
	11-Apr-1995	0.639652  	
	12-Apr-1995	0.638663  	
	13-Apr-1995	0.636813  	
	14-Apr-1995	0.635288  	
	17-Apr-1995	0.629434  	
	18-Apr-1995	0.627581  	
	19-Apr-1995	0.627765  	
	20-Apr-1995	0.631948  	
	21-Apr-1995	0.635308  	
	24-Apr-1995	0.631873  	
	25-Apr-1995	0.630919  	
	26-Apr-1995	0.634591  	
	27-Apr-1995	0.633095  	
	28-Apr-1995	0.635715  	
	01-May-1995	0.636712  	
	02-May-1995	0.634244  	
	03-May-1995	0.633835  	
	04-May-1995	0.634699  	
	05-May-1995	0.635079  	
	08-May-1995	0.631607  	
	09-May-1995	0.633419  	
	10-May-1995	0.634213  	
	11-May-1995	0.641854  	
	12-May-1995	0.650286  	
	15-May-1995	0.650279  	
	16-May-1995	0.652613  	
	17-May-1995	0.649178  	
	18-May-1995	0.651578  	
	19-May-1995	0.649634  	
	22-May-1995	0.652237  	
	23-May-1995	0.65098  	
	24-May-1995	0.652433  	
	25-May-1995	0.648107  	
	26-May-1995	0.634381  	
	29-May-1995	0.635231  	
	30-May-1995	0.634687  	
	31-May-1995	0.634554  	
	01-Jun-1995	0.646126  	
	02-Jun-1995	0.640416  	
	05-Jun-1995	0.641327  	
	06-Jun-1995	0.642193  	
	07-Jun-1995	0.641226  	
	08-Jun-1995	0.641779  	
	09-Jun-1995	0.639566  	
	12-Jun-1995	0.63963  	
	13-Jun-1995	0.637987  	
	14-Jun-1995	0.6401  	
	15-Jun-1995	0.640675  	
	16-Jun-1995	0.639857  	
	19-Jun-1995	0.638715  	
	20-Jun-1995	0.638279  	
	21-Jun-1995	0.637834  	
	22-Jun-1995	0.635425  	
	23-Jun-1995	0.638314  	
	26-Jun-1995	0.636746  	
	27-Jun-1995	0.636724  	
	28-Jun-1995	0.638482  	
	29-Jun-1995	0.640555  	
	30-Jun-1995	0.637447  	
	03-Jul-1995	0.637072  	
	04-Jul-1995	0.636752  	
	05-Jul-1995	0.637826  	
	06-Jul-1995	0.637667  	
	07-Jul-1995	0.639548  	
	10-Jul-1995	0.642849  	
	11-Jul-1995	0.644127  	
	12-Jul-1995	0.644969  	
	13-Jul-1995	0.647445  	
	14-Jul-1995	0.642095  	
	17-Jul-1995	0.645899  	
	18-Jul-1995	0.644509  	
	19-Jul-1995	0.642366  	
	20-Jul-1995	0.641407  	
	21-Jul-1995	0.643146  	
	24-Jul-1995	0.641992  	
	25-Jul-1995	0.641703  	
	26-Jul-1995	0.643885  	
	27-Jul-1995	0.642514  	
	28-Jul-1995	0.643155  	
	31-Jul-1995	0.641216  	
	01-Aug-1995	0.642809  	
	02-Aug-1995	0.645257  	
	03-Aug-1995	0.647506  	
	04-Aug-1995	0.648394  	
	07-Aug-1995	0.648789  	
	08-Aug-1995	0.651752  	
	09-Aug-1995	0.651188  	
	10-Aug-1995	0.652472  	
	11-Aug-1995	0.659035  	
	14-Aug-1995	0.658894  	
	15-Aug-1995	0.662905  	
	16-Aug-1995	0.671551  	
	17-Aug-1995	0.674616  	
	18-Aug-1995	0.670527  	
	21-Aug-1995	0.670552  	
	22-Aug-1995	0.672265  	
	23-Aug-1995	0.671952  	
	24-Aug-1995	0.672321  	
	25-Aug-1995	0.670655  	
	28-Aug-1995	0.668657  	
	29-Aug-1995	0.670745  	
	30-Aug-1995	0.673946  	
	31-Aug-1995	0.67002  	
	01-Sep-1995	0.670958  	
	04-Sep-1995	0.669037  	
	05-Sep-1995	0.671085  	
	06-Sep-1995	0.674192  	
	07-Sep-1995	0.673575  	
	08-Sep-1995	0.677447  	
	11-Sep-1995	0.673536  	
	12-Sep-1995	0.676524  	
	13-Sep-1995	0.680912  	
	14-Sep-1995	0.681177  	
	15-Sep-1995	0.68257  	
	18-Sep-1995	0.682367  	
	19-Sep-1995	0.683517  	
	20-Sep-1995	0.681911  	
	21-Sep-1995	0.672334  	
	22-Sep-1995	0.665183  	
	25-Sep-1995	0.666661  	
	26-Sep-1995	0.670306  	
	27-Sep-1995	0.669413  	
	28-Sep-1995	0.665367  	
	29-Sep-1995	0.66387  	
	02-Oct-1995	0.668548  	
	03-Oct-1995	0.668001  	
	04-Oct-1995	0.670217  	
	05-Oct-1995	0.670016  	
	06-Oct-1995	0.667195  	
	09-Oct-1995	0.666538  	
	10-Oct-1995	0.669196  	
	11-Oct-1995	0.668898  	
	12-Oct-1995	0.668146  	
	13-Oct-1995	0.669098  	
	16-Oct-1995	0.668215  	
	17-Oct-1995	0.668811  	
	18-Oct-1995	0.66655  	
	19-Oct-1995	0.66845  	
	20-Oct-1995	0.667326  	
	23-Oct-1995	0.662946  	
	24-Oct-1995	0.662705  	
	25-Oct-1995	0.665256  	
	26-Oct-1995	0.665634  	
	27-Oct-1995	0.665011  	
	30-Oct-1995	0.667716  	
	31-Oct-1995	0.669096  	
	01-Nov-1995	0.669251  	
	02-Nov-1995	0.67198  	
	03-Nov-1995	0.672829  	
	06-Nov-1995	0.669203  	
	07-Nov-1995	0.670186  	
	08-Nov-1995	0.669081  	
	09-Nov-1995	0.670011  	
	10-Nov-1995	0.665345  	
	13-Nov-1995	0.666239  	
	14-Nov-1995	0.669731  	
	15-Nov-1995	0.665759  	
	16-Nov-1995	0.66706  	
	17-Nov-1995	0.666942  	
	20-Nov-1995	0.669752  	
	21-Nov-1995	0.668243  	
	22-Nov-1995	0.6674  	
	23-Nov-1995	0.66654  	
	24-Nov-1995	0.667554  	
	27-Nov-1995	0.669258  	
	28-Nov-1995	0.671047  	
	29-Nov-1995	0.67209  	
	30-Nov-1995	0.67288  	
	01-Dec-1995	0.674985  	
	04-Dec-1995	0.672275  	
	05-Dec-1995	0.671966  	
	06-Dec-1995	0.672599  	
	07-Dec-1995	0.672685  	
	08-Dec-1995	0.674193  	
	11-Dec-1995	0.672513  	
	12-Dec-1995	0.674217  	
	13-Dec-1995	0.675069  	
	14-Dec-1995	0.674196  	
	15-Dec-1995	0.673879  	
	18-Dec-1995	0.673003  	
	19-Dec-1995	0.672322  	
	20-Dec-1995	0.673667  	
	21-Dec-1995	0.673237  	
	22-Dec-1995	0.674552  	
	26-Dec-1995	0.672016  	
	27-Dec-1995	0.672724  	
	28-Dec-1995	0.672336  	
	29-Dec-1995	0.672728  	
	02-Jan-1996	0.673944  	
	03-Jan-1996	0.674857  	
	04-Jan-1996	0.678286  	
	05-Jan-1996	0.677894  	
	08-Jan-1996	0.676731  	
	09-Jan-1996	0.677579  	
	10-Jan-1996	0.676443  	
	11-Jan-1996	0.675575  	
	12-Jan-1996	0.678036  	
	15-Jan-1996	0.677927  	
	16-Jan-1996	0.680206  	
	17-Jan-1996	0.680823  	
	18-Jan-1996	0.682098  	
	19-Jan-1996	0.683958  	
	22-Jan-1996	0.685494  	
	23-Jan-1996	0.683731  	
	24-Jan-1996	0.686955  	
	25-Jan-1996	0.685856  	
	26-Jan-1996	0.687671  	
	29-Jan-1996	0.688293  	
	30-Jan-1996	0.687682  	
	31-Jan-1996	0.688853  	
	01-Feb-1996	0.688007  	
	02-Feb-1996	0.687079  	
	05-Feb-1996	0.683424  	
	06-Feb-1996	0.681735  	
	07-Feb-1996	0.683708  	
	08-Feb-1996	0.685251  	
	09-Feb-1996	0.684119  	
	12-Feb-1996	0.684616  	
	13-Feb-1996	0.685218  	
	14-Feb-1996	0.683793  	
	15-Feb-1996	0.682348  	
	16-Feb-1996	0.681903  	
	19-Feb-1996	0.678319  	
	20-Feb-1996	0.679593  	
	21-Feb-1996	0.679717  	
	22-Feb-1996	0.679201  	
	23-Feb-1996	0.679944  	
	26-Feb-1996	0.677308  	
	27-Feb-1996	0.677542  	
	28-Feb-1996	0.678678  	
	29-Feb-1996	0.680882  	
	01-Mar-1996	0.683878  	
	04-Mar-1996	0.68267  	
	05-Mar-1996	0.683365  	
	06-Mar-1996	0.683491  	
	07-Mar-1996	0.684584  	
	08-Mar-1996	0.683835  	
	11-Mar-1996	0.684301  	
	12-Mar-1996	0.685327  	
	13-Mar-1996	0.682962  	
	14-Mar-1996	0.682766  	
	15-Mar-1996	0.683333  	
	18-Mar-1996	0.683265  	
	19-Mar-1996	0.68445  	
	20-Mar-1996	0.683257  	
	21-Mar-1996	0.684394  	
	22-Mar-1996	0.685338  	
	25-Mar-1996	0.68414  	
	26-Mar-1996	0.684241  	
	27-Mar-1996	0.68589  	
	28-Mar-1996	0.685882  	
	29-Mar-1996	0.684365  	
	01-Apr-1996	0.685684  	
	02-Apr-1996	0.685811  	
	03-Apr-1996	0.685621  	
	04-Apr-1996	0.685412  	
	05-Apr-1996	0.686559  	
	08-Apr-1996	0.685184  	
	09-Apr-1996	0.687342  	
	10-Apr-1996	0.689717  	
	11-Apr-1996	0.691494  	
	12-Apr-1996	0.690709  	
	15-Apr-1996	0.692051  	
	16-Apr-1996	0.691585  	
	17-Apr-1996	0.691896  	
	18-Apr-1996	0.690765  	
	19-Apr-1996	0.688333  	
	22-Apr-1996	0.690428  	
	23-Apr-1996	0.691163  	
	24-Apr-1996	0.691284  	
	25-Apr-1996	0.692452  	
	26-Apr-1996	0.692408  	
	29-Apr-1996	0.688053  	
	30-Apr-1996	0.689629  	
	01-May-1996	0.691737  	
	02-May-1996	0.691704  	
	03-May-1996	0.690025  	
	06-May-1996	0.689925  	
	07-May-1996	0.689756  	
	08-May-1996	0.689924  	
	09-May-1996	0.687997  	
	10-May-1996	0.687509  	
	13-May-1996	0.690769  	
	14-May-1996	0.691325  	
	15-May-1996	0.691869  	
	16-May-1996	0.693186  	
	17-May-1996	0.692329  	
	20-May-1996	0.693998  	
	21-May-1996	0.693942  	
	22-May-1996	0.694545  	
	23-May-1996	0.694573  	
	24-May-1996	0.694885  	
	28-May-1996	0.697081  	
	29-May-1996	0.696974  	
	30-May-1996	0.691354  	
	31-May-1996	0.693392  	
	03-Jun-1996	0.691279  	
	04-Jun-1996	0.692769  	
	05-Jun-1996	0.693385  	
	06-Jun-1996	0.693246  	
	07-Jun-1996	0.692722  	
	10-Jun-1996	0.694982  	
	11-Jun-1996	0.694998  	
	12-Jun-1996	0.695423  	
	13-Jun-1996	0.69485  	
	14-Jun-1996	0.691769  	
	17-Jun-1996	0.691849  	
	18-Jun-1996	0.689861  	
	19-Jun-1996	0.690564  	
	20-Jun-1996	0.69168  	
	21-Jun-1996	0.693341  	
	24-Jun-1996	0.693942  	
	25-Jun-1996	0.694294  	
	26-Jun-1996	0.694042  	
	27-Jun-1996	0.693125  	
	28-Jun-1996	0.692837  	
	01-Jul-1996	0.692615  	
	02-Jul-1996	0.693354  	
	03-Jul-1996	0.69412  	
	04-Jul-1996	0.692758  	
	05-Jul-1996	0.694024  	
	08-Jul-1996	0.695054  	
	09-Jul-1996	0.693978  	
	10-Jul-1996	0.693575  	
	11-Jul-1996	0.693813  	
	12-Jul-1996	0.692724  	
	15-Jul-1996	0.694174  	
	16-Jul-1996	0.689388  	
	17-Jul-1996	0.687888  	
	18-Jul-1996	0.687795  	
	19-Jul-1996	0.687007  	
	22-Jul-1996	0.686364  	
	23-Jul-1996	0.684473  	
	24-Jul-1996	0.685337  	
	25-Jul-1996	0.686043  	
	26-Jul-1996	0.685361  	
	29-Jul-1996	0.685459  	
	30-Jul-1996	0.684347  	
	31-Jul-1996	0.682342  	
	01-Aug-1996	0.683221  	
	02-Aug-1996	0.684299  	
	05-Aug-1996	0.683572  	
	06-Aug-1996	0.685592  	
	07-Aug-1996	0.685868  	
	08-Aug-1996	0.686649  	
	09-Aug-1996	0.685395  	
	12-Aug-1996	0.684675  	
	13-Aug-1996	0.684945  	
	14-Aug-1996	0.68606  	
	15-Aug-1996	0.687234  	
	16-Aug-1996	0.686979  	
	19-Aug-1996	0.687177  	
	20-Aug-1996	0.687141  	
	21-Aug-1996	0.686703  	
	22-Aug-1996	0.687409  	
	23-Aug-1996	0.687149  	
	26-Aug-1996	0.68477  	
	27-Aug-1996	0.684286  	
	28-Aug-1996	0.68563  	
	29-Aug-1996	0.685308  	
	30-Aug-1996	0.686033  	
	02-Sep-1996	0.686588  	
	03-Sep-1996	0.687397  	
	04-Sep-1996	0.686624  	
	05-Sep-1996	0.686211  	
	06-Sep-1996	0.686773  	
	09-Sep-1996	0.687835  	
	10-Sep-1996	0.690133  	
	11-Sep-1996	0.692303  	
	12-Sep-1996	0.692222  	
	13-Sep-1996	0.692439  	
	16-Sep-1996	0.692679  	
	17-Sep-1996	0.691754  	
	18-Sep-1996	0.692011  	
	19-Sep-1996	0.690623  	
	20-Sep-1996	0.69195  	
	23-Sep-1996	0.691981  	
	24-Sep-1996	0.691105  	
	25-Sep-1996	0.690205  	
	26-Sep-1996	0.692898  	
	27-Sep-1996	0.693292  	
	30-Sep-1996	0.694746  	
	01-Oct-1996	0.693964  	
	02-Oct-1996	0.694648  	
	03-Oct-1996	0.695187  	
	04-Oct-1996	0.695186  	
	07-Oct-1996	0.695156  	
	08-Oct-1996	0.694022  	
	09-Oct-1996	0.694957  	
	10-Oct-1996	0.695024  	
	11-Oct-1996	0.694424  	
	14-Oct-1996	0.694566  	
	15-Oct-1996	0.69595  	
	16-Oct-1996	0.696253  	
	17-Oct-1996	0.695943  	
	18-Oct-1996	0.6964  	
	21-Oct-1996	0.696269  	
	22-Oct-1996	0.695359  	
	23-Oct-1996	0.694182  	
	24-Oct-1996	0.693568  	
	25-Oct-1996	0.694453  	
	28-Oct-1996	0.69401  	
	29-Oct-1996	0.692281  	
	30-Oct-1996	0.692497  	
	31-Oct-1996	0.691453  	
	01-Nov-1996	0.691661  	
	04-Nov-1996	0.690712  	
	05-Nov-1996	0.690512  	
	06-Nov-1996	0.691955  	
	07-Nov-1996	0.688142  	
	08-Nov-1996	0.688487  	
	11-Nov-1996	0.686829  	
	12-Nov-1996	0.685274  	
	13-Nov-1996	0.687174  	
	14-Nov-1996	0.686733  	
	15-Nov-1996	0.6866  	
	18-Nov-1996	0.686712  	
	19-Nov-1996	0.685653  	
	20-Nov-1996	0.684359  	
	21-Nov-1996	0.684759  	
	22-Nov-1996	0.684987  	
	25-Nov-1996	0.687667  	
	26-Nov-1996	0.690388  	
	27-Nov-1996	0.69053  	
	28-Nov-1996	0.69211  	
	29-Nov-1996	0.692225  	
	02-Dec-1996	0.692898  	
	03-Dec-1996	0.696885  	
	04-Dec-1996	0.696164  	
	05-Dec-1996	0.697323  	
	06-Dec-1996	0.692317  	
	09-Dec-1996	0.695525  	
	10-Dec-1996	0.695794  	
	11-Dec-1996	0.693538  	
	12-Dec-1996	0.694556  	
	13-Dec-1996	0.693249  	
	16-Dec-1996	0.695855  	
	17-Dec-1996	0.694526  	
	18-Dec-1996	0.694961  	
	19-Dec-1996	0.695619  	
	20-Dec-1996	0.696405  	
	23-Dec-1996	0.695098  	
	24-Dec-1996	0.695805  	
	25-Dec-1996	0.695805  	
	26-Dec-1996	0.69662  	
	27-Dec-1996	0.696558  	
	30-Dec-1996	0.696769  	
	31-Dec-1996	0.695432  	
	02-Jan-1997	0.694374  	
	03-Jan-1997	0.69511  	
	06-Jan-1997	0.698024  	
	07-Jan-1997	0.696895  	
	08-Jan-1997	0.698577  	
	09-Jan-1997	0.699703  	
	10-Jan-1997	0.69933  	
	13-Jan-1997	0.702058  	
	14-Jan-1997	0.702203  	
	15-Jan-1997	0.704567  	
	16-Jan-1997	0.7032  	
	17-Jan-1997	0.70479  	
	20-Jan-1997	0.710493  	
	21-Jan-1997	0.70894  	
	22-Jan-1997	0.712917  	
	23-Jan-1997	0.713821  	
	24-Jan-1997	0.712701  	
	27-Jan-1997	0.714432  	
	28-Jan-1997	0.718531  	
	29-Jan-1997	0.71969  	
	30-Jan-1997	0.717223  	
	31-Jan-1997	0.717021  	
	03-Feb-1997	0.718982  	
	04-Feb-1997	0.717775  	
	05-Feb-1997	0.719428  	
	06-Feb-1997	0.719584  	
	07-Feb-1997	0.721914  	
	10-Feb-1997	0.718921  	
	11-Feb-1997	0.721501  	
	12-Feb-1997	0.723563  	
	13-Feb-1997	0.724232  	
	14-Feb-1997	0.724548  	
	17-Feb-1997	0.726521  	
	18-Feb-1997	0.728638  	
	19-Feb-1997	0.726244  	
	20-Feb-1997	0.725615  	
	21-Feb-1997	0.724174  	
	24-Feb-1997	0.721803  	
	25-Feb-1997	0.720996  	
	26-Feb-1997	0.72001  	
	27-Feb-1997	0.722261  	
	28-Feb-1997	0.722053  	
	03-Mar-1997	0.722667  	
	04-Mar-1997	0.725914  	
	05-Mar-1997	0.726719  	
	06-Mar-1997	0.72741  	
	07-Mar-1997	0.726827  	
